0.335,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNe,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,0.953,0.91,0.012,0.109,0.042,Thu Aug 17 23:20:08 2017,avNNet,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,249,26,cv,5,6,1,5,3,0.000154371552198701,FALSE
Fail,Fail,Fail,Fail,Fail,Tue Aug 29 22:51:57 2017,bag,1,1,basic latent features,ignore,none,range01,2
0.994,0.993,0.001,0.008,0.006,Tue Aug 29 22:54:42 2017,bagEarth,1,1,basic latent features,ignore,none,range01,1.18227025531273,random,307,164,adaptive_cv,32,7,5,4,7,1
Fail,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:02 2017,bagEarthGCV,1,1,basic latent features,ignore,none,range01,19
Fail,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:09 2017,bam,1,1,basic latent features,ignore,none,range01,8
Fail,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:11 2017,bartMachine,1,1,basic latent features,ignore,none,range01,1
Fail,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:13 2017,bayesglm,1,1,basic latent features,ignore,none,range01,3
Fail,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:20 2017,blasso,1,1,basic latent features,ignore,none,range01,6
Fail,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:23 2017,blassoAveraged,1,1,basic latent features,ignore,none,range01,3
Fail,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:25 2017,bridge,1,1,basic latent features,ignore,none,range01,2
0.997,0.997,0,0.003,0.003,Tue Aug 29 23:00:55 2017,BstLm,1,1,basic latent features,ignore,none,range01,1.18227025531273,random,315,329,adaptive_cv,32,7,5,4,459,0.523020373695763
0.804,0.777,0.06,0.264,0.192,Tue Aug 29 23:01:56 2017,cforest,1,1,basic latent features,ignore,none,range01,1.18227025531273,random,316,61,adaptive_cv,32,7,5,4,6
0.606,0.571,0.083,0.508,0.386,Tue Aug 29 23:03:30 2017,ctree,1,1,basic latent features,ignore,none,range01,1.18227025531273,random,317,94,adaptive_cv,32,7,5,4,0.886272184550762
