0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,
-0.212,-0.314,0.832,0.825,0.632,Sun Jan 28 15:34:38 2018,avNNet,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,93,cv,20,3,NA,5,10,0.00133212141861654,FALSE
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 15:34:42 2018,bag,1,1,bas interactive latent features,ignore,none,YeoJohnson,4
0.968,0.965,0.02,0.022,0.017,Sun Jan 28 15:35:17 2018,bagEarth,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,35,cv,20,3,NA,5,7,2
0.969,0.966,-1,0.021,0.016,Sun Jan 28 15:35:45 2018,bagEarthGCV,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,5,cv,20,3,NA,5,1
0.998,0.998,0.001,0.001,0.001,Sun Jan 28 15:39:07 2018,bam,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,179,cv,20,3,NA,5,TRUE,ML
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 15:39:13 2018,bartMachine,1,1,bas interactive latent features,ignore,none,YeoJohnson,5
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 15:39:15 2018,bayesglm,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
0.996,0.995,0.003,0.003,0.002,Sun Jan 28 15:39:27 2018,blasso,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,12,cv,20,3,NA,5,0.960117422044277
0.996,0.995,-1,0.003,0.002,Sun Jan 28 15:39:38 2018,blassoAveraged,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,10,cv,20,3,NA,5,none
0.996,0.995,-1,0.003,0.002,Sun Jan 28 15:39:48 2018,bridge,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,10,cv,20,3,NA,5,none
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 15:39:51 2018,BstLm,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
0.946,0.94,0.052,0.038,0.028,Sun Jan 28 15:41:08 2018,cforest,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,76,cv,20,3,NA,5,4
0.893,0.886,0.082,0.071,0.056,Sun Jan 28 15:41:17 2018,ctree,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,4,cv,20,3,NA,5,0.227876753313467
0.893,0.886,0.082,0.071,0.056,Sun Jan 28 15:41:22 2018,ctree2,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,4,cv,20,3,NA,5,8,0.218356975587085
0.997,0.997,0.004,0.002,0.001,Sun Jan 28 15:44:10 2018,cubist,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,168,cv,20,3,NA,5,36,4
-0.002,-0.001,0.649,0.629,0.522,Sun Jan 28 15:44:18 2018,dnn,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,7,cv,20,3,NA,5,19,15,4,0.0928020556690171,0.46498460851144
0.967,0.964,0.024,0.023,0.017,Sun Jan 28 15:44:22 2018,earth,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,4,cv,20,3,NA,5,7,1
0.996,0.996,0.003,0.002,0.002,Sun Jan 28 15:44:25 2018,elm,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,18,purelin
0.987,0.984,0.01,0.01,0.007,Sun Jan 28 15:44:29 2018,enet,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3,cv,20,3,NA,5,0.74787291069515,0.000232948822684871
0.83,0.823,0.13,0.111,0.088,Sun Jan 28 16:10:46 2018,evtree,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,1576,cv,20,3,NA,5,1.91150701325387
0.974,0.97,0.024,0.019,0.014,Sun Jan 28 16:17:53 2018,extraTrees,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,427,cv,20,3,NA,5,7,3
0.99,0.988,0.008,0.008,0.005,Sun Jan 28 16:17:57 2018,foba,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3,cv,20,3,NA,5,7,0.000232948822684871
0.998,0.998,0.001,0.001,0.001,Sun Jan 28 16:20:53 2018,gam,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,175,cv,20,3,NA,5,TRUE,ML
0.982,0.98,0.014,0.012,0.009,Sun Jan 28 16:28:03 2018,gamboost,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,430,cv,20,3,NA,5,1000,no
0.997,0.997,0.002,0.002,0.001,Sun Jan 28 16:28:48 2018,gamSpline,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,44,cv,20,3,NA,5,4.99614058877341
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 16:28:52 2018,gaussprLinear,1,1,bas interactive latent features,ignore,none,YeoJohnson,3
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 16:35:43 2018,gaussprPoly,1,1,bas interactive latent features,ignore,none,YeoJohnson,410
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 16:35:47 2018,gaussprRadial,1,1,bas interactive latent features,ignore,none,YeoJohnson,4
0.978,0.976,0.024,0.015,0.012,Sun Jan 28 16:38:42 2018,gbm,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,174,cv,20,3,NA,5,4370,5,0.0710789342119824,5
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 16:41:43 2018,gbm_h2o,1,1,bas interactive latent features,ignore,none,YeoJohnson,180
0.967,0.964,-1,0.023,0.017,Sun Jan 28 16:41:46 2018,gcvEarth,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,1
0.996,0.996,-1,0.002,0.002,Sun Jan 28 16:41:48 2018,glm,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,none
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 16:42:11 2018,glm.nb,1,1,bas interactive latent features,ignore,none,YeoJohnson,22
0.964,0.96,0.025,NA,NA,Sun Jan 28 16:42:22 2018,glmboost,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,10,cv,20,3,NA,5,1000,no
0.969,0.966,0.021,NA,NA,Sun Jan 28 16:42:27 2018,glmnet,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,5,cv,20,3,NA,5,0.688597397180274,0.00269210953831758
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 16:45:25 2018,glmnet_h2o,1,1,bas interactive latent features,ignore,none,YeoJohnson,177
0.996,0.996,-1,0.002,0.002,Sun Jan 28 16:45:28 2018,glmStepAIC,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,none
0.996,0.996,0.003,0.002,0.002,Sun Jan 28 16:45:34 2018,icr,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,6,cv,20,3,NA,5,9
0.996,0.996,0.003,0.002,0.002,Sun Jan 28 16:45:38 2018,kernelpls,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,9
0.951,0.945,0.046,0.035,0.026,Sun Jan 28 16:50:35 2018,kknn,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,296,cv,20,3,NA,5,85,0.807291117729619,triweight
0.777,0.748,0.205,0.158,0.116,Sun Jan 28 16:50:41 2018,knn,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,5,cv,20,3,NA,5,57
0.071,0.071,0.565,0.583,0.484,Sun Jan 28 16:52:35 2018,krlsPoly,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,114,cv,20,3,NA,5,0.239929266402433,1
0.999,0.999,0.003,0.001,0.001,Sun Jan 28 16:59:33 2018,krlsRadial,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,416,cv,20,3,NA,5,0.000137842698502412,10.1978438377974
0.996,0.996,0.003,0.002,0.002,Sun Jan 28 16:59:36 2018,lars,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3,cv,20,3,NA,5,0.999228117754683
0.984,0.981,0.012,0.012,0.008,Sun Jan 28 16:59:39 2018,lars2,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,9
0.996,0.996,0.003,0.002,0.002,Sun Jan 28 16:59:41 2018,lasso,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,0.999228117754683
0.996,0.996,0.003,0.003,0.002,Sun Jan 28 16:59:45 2018,leapBackward,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3,cv,20,3,NA,5,8
0.996,0.996,0.003,0.003,0.002,Sun Jan 28 16:59:47 2018,leapForward,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,8
0.996,0.996,0.003,0.003,0.002,Sun Jan 28 16:59:50 2018,leapSeq,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,8
0.996,0.996,-1,0.002,0.002,Sun Jan 28 16:59:53 2018,lm,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,TRUE
0.996,0.996,-1,0.002,0.002,Sun Jan 28 16:59:55 2018,lmStepAIC,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,none
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 17:00:01 2018,logicBag,1,1,bas interactive latent features,ignore,none,YeoJohnson,6
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 17:00:09 2018,logreg,1,1,bas interactive latent features,ignore,none,YeoJohnson,7
